"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
220,"Precinct Committeeman MLT 103 - D","Roberta Jacobson","D",54,100.00,1325,110696,1,1,"0","0"
221,"Precinct Committeeman MLT 105 - D","Connie Sunderhaus","D",19,100.00,382,110696,1,1,"0","0"
222,"Precinct Committeeman YRK 007 - D","Jennifer A. Kopach","D",10,100.00,701,110696,1,1,"0","0"
223,"Precinct Committeeman YRK 010 - D","M. Moon Khan","D",35,100.00,787,110696,1,1,"0","0"
224,"Precinct Committeeman YRK 011 - D","Gaia Guirl-Stearley","D",26,100.00,669,110696,1,1,"0","0"
225,"Precinct Committeeman YRK 012 - D","Albert M. Bertolani","D",15,100.00,655,110696,1,1,"0","0"
226,"Precinct Committeeman YRK 014 - D","Christopher W. Meder","D",15,100.00,494,110696,1,1,"0","0"
227,"Precinct Committeeman YRK 016 - D","Karen G. Hays","D",11,100.00,633,110696,1,1,"0","0"
228,"Precinct Committeeman YRK 020 - D","Catherine D. Sewell","D",24,100.00,688,110696,1,1,"0","0"
229,"Precinct Committeeman YRK 022 - D","J. Angel Cardenas","D",11,100.00,641,110696,1,1,"0","0"
230,"Precinct Committeeman YRK 024 - D","Carol B. Davis","D",31,100.00,625,110696,1,1,"0","0"
231,"Precinct Committeeman YRK 025 - D","Stephen S. Seddon","D",19,100.00,614,110696,1,1,"0","0"
232,"Precinct Committeeman YRK 026 - D","Allison Schraub","D",38,100.00,835,110696,1,1,"0","0"
233,"Precinct Committeeman YRK 030 - D","Steven P. Stawarz","D",7,100.00,545,110696,1,1,"0","0"
234,"Precinct Committeeman YRK 040 - D","Virginia Brickley","D",15,100.00,718,110696,1,1,"0","0"
235,"Precinct Committeeman YRK 043 - D","James P. Walsh","D",17,100.00,444,110696,1,1,"0","0"
236,"Precinct Committeeman YRK 047 - D","Robert J. ""Bob"" Wagner","D",15,100.00,419,110696,1,1,"0","0"
